ID_IPEDS,YEAR,ENROLL_FTUG,GRANT_FEDERAL,GRANT_STATE,NETPRICE,PUBLIC,DEGREE_BACH,TYPE,TN_PROMISE
221625,2015,536,1868813,904003,8379,1,0,two-year public,1
221634,2010,209,1005942,26400,11274,1,0,two-year public,0
221634,2011,243,1090435,391856,10410,1,0,two-year public,0
221634,2012,145,653285,24000,13506,1,0,two-year public,0
221634,2013,174,844993,34401,6564,1,0,two-year public,0
221634,2014,223,1018239,48000,5398,1,0,two-year public,0
221634,2015,181,799694,388047,7960,1,0,two-year public,1
221643,2010,1762,4157443,1481376,9822,1,0,two-year public,0
221643,2011,1771,4057538,2165673,10612,1,0,two-year public,0
221643,2012,1728,4021879,2780213,8485,1,0,two-year public,0
221643,2013,1900,4355246,3242275,7196,1,0,two-year public,0
221643,2014,1966,4392283,3617389,7235,1,0,two-year public,0
221643,2015,2324,4603501,6133810,6787,1,0,two-year public,1
221661,2010,613,1065696,426454,19376,0,1,four-year private,0
221661,2011,638,967287,496665,19890,0,1,four-year private,0
221661,2012,557,922210,399010,20343,0,1,four-year private,0
221661,2013,480,847369,317625,21110,0,1,four-year private,0
221661,2014,553,866186,418875,20614,0,1,four-year private,0
221661,2015,535,790807,355882,21540,0,1,four-year private,1
221731,2010,218,609257,887527,11585,0,1,four-year private,0
221731,2011,206,369005,745062,11453,0,1,four-year private,0
221731,2012,218,482812,864364,11349,0,1,four-year private,0
221731,2013,208,386268,729068,11182,0,1,four-year private,0
221731,2014,197,471670,804812,10754,0,1,four-year private,0
